Artist_ID,Artist_Name,Genre
1,The Weeknd,Pop/R&B
2,Taylor Swift,Pop/Country
3,Drake,Hip-Hop/Rap
4,Bad Bunny,Latin Trap/Reggaeton
5,Ed Sheeran,Pop
6,Billie Eilish,Alt-Pop
7,Ariana Grande,Pop/R&B
8,Post Malone,Hip-Hop/Pop
9,Dua Lipa,Dance-Pop
10,Kendrick Lamar,Hip-Hop/Rap
11,Harry Styles,Pop/Rock
12,Olivia Rodrigo,Alt-Pop
13,Justin Bieber,Pop/R&B
14,SZA,R&B/Soul
15,J. Cole,Hip-Hop/Rap
16,Beyonce,Pop/R&B
17,Travis Scott,Hip-Hop/Trap
18,Rihanna,Pop/R&B
19,Eminem,Hip-Hop/Rap
20,Adele,Pop/Soul
21,BTS,K-Pop
22,Lana Del Rey,Indie Pop/Dream Pop
23,Future,Hip-Hop/Trap
24,Nicki Minaj,Hip-Hop/Rap
25,Coldplay,Alternative/Rock
26,Kanye West,Hip-Hop/Rap
27,Sabrina Carpenter,Pop
28,Morgan Wallen,Country
29,Cardi B,Hip-Hop/Rap
30,Doja Cat,Pop/Hip-Hop
31,Lil Baby,Hip-Hop/Trap
32,Peso Pluma,Regional Mexican
33,Lizzo,Pop/R&B
34,Luke Combs,Country
35,21 Savage,Hip-Hop/Trap
36,Karol G,Reggaeton/Latin Pop
37,Bruno Mars,Pop/Funk/R&B
38,Imagine Dragons,Pop/Rock
39,Miley Cyrus,Pop/Rock
40,Sam Smith,Pop/Soul
41,Rauw Alejandro,Reggaeton/Latin Pop
42,Gunna,Hip-Hop/Trap
43,Metro Boomin,Hip-Hop/Trap
44,Tyla,Afropop/R&B
45,Shakira,Latin Pop/Dance
46,Juice WRLD,Hip-Hop/Emo Rap
47,XXXTentacion,Hip-Hop/Emo Rap
48,Feid,Reggaeton/Latin Pop
49,Central Cee,UK Rap/Drill
50,Myke Towers,Reggaeton/Latin Trap
