Stream_ID,User_ID,Song_ID,Stream_Date,Minutes_Listened,Device
1,104,98,2023-07-24,4.54,Mobile
2,23,65,2024-01-28,3.44,Mobile
3,126,52,2024-03-07,1.72,Tablet
4,96,100,2024-11-29,3.8,Mobile
5,146,87,2023-03-26,1.93,Tablet
6,121,81,2024-02-17,4.97,Mobile
7,93,137,2023-03-24,3.61,Desktop
8,14,92,2023-05-13,4.79,Mobile
9,114,153,2023-07-01,2.51,Mobile
10,6,44,2024-04-30,3.28,Console
11,23,37,2023-11-14,3.42,Mobile
12,104,52,2023-02-26,2.74,Desktop
13,33,91,2024-12-12,4.92,Smart Speaker
14,39,156,2024-02-23,2.62,Mobile
15,46,105,2023-05-30,3.22,Mobile
16,128,60,2023-09-21,2.33,Mobile
17,19,129,2023-10-22,8.98,Mobile
18,97,103,2023-12-11,1.66,Mobile
19,95,137,2023-04-05,3.3,Mobile
20,103,198,2024-03-30,3.84,Mobile
21,80,28,2024-12-05,1.04,Tablet
22,64,99,2023-10-31,3.71,Smart TV
23,108,66,2023-03-13,2.53,Smart TV
24,123,137,2023-05-11,1.21,Smart TV
25,105,169,2024-09-17,2.88,Smart Speaker
26,113,50,2024-01-24,3.36,Mobile
27,91,178,2023-10-30,1.01,Smart Speaker
28,44,164,2023-09-25,3.14,Smart TV
29,60,105,2023-12-20,3.63,Desktop
30,52,1,2024-06-18,3.22,Smart Speaker
31,43,131,2024-03-30,1.05,Smart TV
32,107,120,2024-07-27,4.17,Desktop
33,74,52,2023-01-22,2.18,Mobile
34,9,15,2024-03-02,3.22,Desktop
35,148,76,2023-07-18,3.3,Tablet
36,103,45,2023-09-29,3.26,Mobile
37,115,178,2024-12-19,3.35,Smart Speaker
38,93,65,2023-08-01,3.4,Smart TV
39,98,48,2024-05-05,4.4,Console
40,44,20,2024-06-28,2.7,Mobile
41,85,127,2023-03-15,3.38,Desktop
42,137,71,2024-10-10,3.24,Mobile
43,35,151,2023-02-18,2.06,Desktop
44,143,194,2023-10-27,3.51,Smart Speaker
45,107,59,2023-07-13,3.28,Mobile
46,94,19,2024-07-27,3.31,Mobile
47,91,168,2024-07-01,3.17,Smart Speaker
48,36,39,2024-07-12,3.54,Desktop
49,43,91,2023-08-26,5.3,Desktop
50,88,198,2023-02-24,2.9,Mobile
51,79,46,2023-04-24,2.84,Desktop
52,4,60,2024-01-21,1.78,Tablet
53,61,146,2024-03-30,2.32,Smart TV
54,42,43,2024-03-30,3,Mobile
55,102,6,2023-11-04,0.83,Mobile
56,74,143,2023-10-30,3.21,Tablet
57,11,91,2023-06-17,5.06,Mobile
58,84,9,2024-01-21,2.32,Desktop
59,5,196,2023-10-23,1.36,Smart Speaker
60,59,45,2024-06-20,3.23,Mobile
61,67,42,2024-08-03,2.75,Console
62,52,34,2023-07-04,2.6,Smart TV
63,47,149,2024-03-16,2.83,Mobile
64,102,115,2023-03-17,4.03,Mobile
65,123,157,2023-04-04,2.77,Smart Speaker
66,125,54,2023-04-13,2.71,Tablet
67,35,122,2023-09-12,4.99,Mobile
68,133,173,2024-05-31,2.71,Mobile
69,62,135,2023-08-21,2.73,Desktop
70,19,62,2023-09-14,3.71,Desktop
71,25,161,2023-01-31,1.4,Mobile
72,13,170,2023-10-27,3.64,Smart Speaker
73,3,148,2024-06-27,3.47,Mobile
74,89,100,2023-05-26,3.83,Mobile
75,15,7,2023-12-30,3.51,Tablet
76,98,5,2024-01-03,3.48,Mobile
77,40,200,2023-03-17,3.49,Mobile
78,66,195,2023-03-14,3.66,Smart Speaker
79,21,178,2024-01-14,3.35,Mobile
80,144,166,2023-09-27,3.21,Mobile
81,136,63,2023-03-07,0.85,Mobile
82,27,70,2023-11-11,3.02,Mobile
83,114,134,2023-01-18,2.73,Tablet
84,32,189,2023-01-19,2.88,Smart TV
85,114,110,2023-11-25,3.23,Smart Speaker
86,28,74,2024-02-12,0.74,Console
87,117,191,2024-05-16,3.21,Smart Speaker
88,13,145,2023-03-27,3.38,Mobile
89,149,5,2023-01-21,4.04,Mobile
90,28,4,2024-03-16,2.86,Mobile
91,35,199,2024-12-08,4.29,Mobile
92,80,48,2024-03-04,4.16,Mobile
93,135,78,2023-09-14,2.95,Smart Speaker
94,32,9,2024-09-11,1.25,Mobile
95,75,154,2024-05-10,2.92,Smart Speaker
96,79,115,2023-09-16,4.21,Desktop
97,39,49,2023-12-04,5.12,Mobile
98,91,155,2024-06-12,2.51,Tablet
99,147,1,2023-12-12,2.31,Desktop
100,22,3,2024-03-08,3.39,Mobile
101,50,23,2023-09-05,4.27,Smart Speaker
102,80,45,2024-07-22,3.28,Desktop
103,83,7,2023-08-12,3.41,Mobile
104,65,123,2024-07-09,4.54,Mobile
105,84,179,2024-07-20,3.19,Smart TV
106,134,155,2024-03-10,2.27,Desktop
107,143,46,2024-06-14,1.63,Mobile
108,89,40,2023-05-12,3.47,Mobile
109,143,75,2024-01-07,3.5,Web Browser
110,26,187,2024-07-16,3.02,Mobile
111,51,163,2023-06-11,2.86,Desktop
112,110,140,2024-07-11,3.96,Tablet
113,97,67,2023-04-18,2.94,Mobile
114,17,68,2024-11-28,4.19,Mobile
115,61,152,2023-05-08,3.89,Web Browser
116,71,105,2023-05-13,3.98,Tablet
117,74,180,2024-11-08,2.4,Mobile
118,131,137,2023-09-26,3.44,Desktop
119,68,78,2024-03-20,0.81,Web Browser
120,8,126,2023-08-22,4.7,Smart TV
121,62,200,2024-06-03,0.87,Tablet
122,18,91,2024-07-28,4.68,Console
123,91,199,2024-07-02,0.74,Tablet
124,4,116,2023-07-27,3.25,Desktop
125,1,56,2023-02-15,3.69,Desktop
126,48,33,2024-07-16,3.49,Mobile
127,9,78,2023-02-27,4.21,Desktop
128,96,195,2024-05-25,1.34,Mobile
129,39,177,2023-02-02,1.94,Mobile
130,52,171,2024-02-29,1.23,Desktop
131,123,21,2024-02-03,2.63,Mobile
132,78,123,2023-01-01,4.81,Mobile
133,65,60,2023-06-27,1.91,Smart Speaker
134,5,41,2024-06-25,1.25,Mobile
135,92,103,2023-06-15,1.59,Mobile
136,40,141,2024-04-19,3.63,Desktop
137,82,188,2024-10-08,2.98,Smart Speaker
138,13,129,2024-02-13,8.75,Tablet
139,120,55,2024-05-27,3.36,Web Browser
140,109,137,2023-11-20,3.36,Mobile
141,58,161,2023-09-11,1.3,Web Browser
142,105,59,2023-12-16,3.24,Mobile
143,121,98,2023-08-09,1.52,Mobile
144,2,47,2024-10-30,2.97,Desktop
145,112,82,2023-10-11,1.02,Console
146,124,146,2024-01-19,3.61,Desktop
147,114,119,2023-07-07,3.31,Desktop
148,77,138,2024-04-02,3.23,Desktop
149,117,50,2023-05-05,3.29,Mobile
150,81,16,2023-07-20,3.96,Console
151,141,110,2024-07-07,3.09,Mobile
152,33,151,2023-07-13,2.1,Smart Speaker
153,6,89,2024-12-23,3.43,Smart Speaker
154,10,50,2023-08-13,3.23,Mobile
155,2,48,2024-04-17,4.27,Mobile
156,87,63,2023-10-27,2.22,Mobile
157,11,55,2024-02-14,1.23,Tablet
